pad_water_quality_2011.csv,,,,,,,,,,,,
"Water quality data and river velocities in the Peace-Athabasca Delta, June/July 2011",,,,,,,,,,,,
"Temp, SpCond, Turb, Chl, and CDOM collected with a Eureka Manta Multiprobe.  ",,,,,,,,,,,,
SSC measured by filtering water samples and weighing the remaining sediment,,,,,,,,,,,,
"Collected by Colleen Long, Tamlin Pavelsky, and Zachary Miller",,,,,,,,,,,,
"File last modified January 9, 2011",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Site_Name,Date,Local Time,Latitude,Longitude,Temperature,SpCond,Turbidity,Chl,CDOM,SSC,Secchi_Disc_Depth,SF_Velocity
,YYYYMMDD,hh:mm,Decimal Degrees,Decimal Degrees,deg C,uS/cm,NTU,ug/L,ug/L,mg/L,cm,m/s
Chillowe's Cr,20110624,10:15,58.82257,-111.29728,20.47,231.7,18.8,-9999,295.13,12,48,-9999
Rochers Abv Chillowe's,20110624,10:49,58.80523,-111.285948,19.02,194.2,138,9.08,171.13,160.3571,21,-9999
Rochers Top,20110624,11:20,58.7135,-111.21715,18.81,224.9,193.2,11.38,167.5,221.6,17,-9999
Dog Camp Island,20110624,13:56,58.65019,-111.30891,18.7,248.1,179.3,8.86,196.09,147.1429,18,-9999
QF Top,20110624,14:09,58.66573,-111.35634,19.48,248,107.1,9.23,231.32,80.3571,20,-9999
QF TM,20110624,14:31,58.73543,-111.4132,22.18,270.7,25.6,-9999,286.82,20.7143,51,-9999
QF Middle,20110624,14:51,58.78725,-111.45826,20.99,272.4,24.4,-9999,293.46,17.5,46,-9999
QF BM,20110624,15:21,58.82954,-111.57172,22.6,274.4,27.9,7.36,279.52,18.9286,41,-9999
QF at Peace,20110624,15:39,58.88858,-111.60782,23.59,273.7,26.1,7.73,271.83,13.2143,49,-9999
Peace Abv QF,20110624,15:51,58.90381,-111.61655,18.33,218.2,251.5,3.65,128.58,329.6429,14,-9999
Garouche Cr,20110624,17:05,58.64203,-111.231,20.53,315,5.2,6.44,320.09,4.6429,117,-9999
QF btwn FC and DC,20110624,17:21,58.66893,-111.24673,18.97,247.7,189.1,9.03,193,172.5,18,-9999
Embarras at Galoot,20110625,9:20,58.60724,-111.09908,-9999,-9999,-9999,-9999,-9999,887.1429,3,-9999
Embarras Abv CP,20110625,9:55,58.56691,-111.09356,-9999,-9999,-9999,-9999,-9999,356.0714,8,0.74
FC Abv CP,20110625,10:12,58.56043,-111.0666,16.8,243.8,834.3,6.62,112.65,921.4286,-9999,0.8
Goose Island Channel,20110625,10:53,58.59846,-110.83938,17.15,243.8,1246.3,6.48,75.03,767.8571,-9999,1.4
Ath at GIC,20110625,11:16,58.60079,-110.84161,17.01,243.2,726.7,6.54,130.39,800.3571,-9999,0.85
FC at GW,20110625,12:19,58.49932,-111.07909,16.56,242.1,903.1,6.51,104.88,935.3571,-9999,1.22
Ath at FC,20110625,12:40,58.4529,-111.06631,16.31,239.9,856.3,6.48,115.03,794.2857,-9999,1.5
L. Athabasca Transect 1,20110627,9:27,58.75784,-111.02585,17.29,147.5,99.6,7.79,140.89,64.6429,18,-9999
L. Athabasca Transect 2,20110627,9:46,58.75214,-111.02021,17.24,162.8,120.6,7.06,146.16,78.5714,20,-9999
L. Athabasca Transect 3,20110627,9:57,58.74855,-111.01388,17.24,138.2,108.9,6.39,137.22,78.2143,18,-9999
L. Athabasca Transect 4,20110627,10:05,58.74542,-111.00838,17.28,128.4,78.5,6.17,136.76,51.4286,21,-9999
L. Athabasca Transect 5,20110627,10:18,58.74207,-111.00194,17.32,148,124.5,6.21,141.79,83.9286,17,-9999
L. Athabasca Transect 6,20110627,10:27,58.73911,-110.99572,17.44,227.8,244.8,7,180.75,176.8,12,-9999
L. Athabasca Transect 7,20110627,10:34,58.736,-110.98885,16.74,245.5,445.7,6.47,170.4,308.8,8,-9999
L. Athabasca Transect 8,20110627,10:44,58.73332,-110.98256,16.01,245.8,477.6,6.64,164.67,290.7143,9,-9999
L. Athabasca Transect 9,20110627,10:50,58.73069,-110.97622,16.54,245.9,461.3,6.57,168.36,317.5,8,-9999
L. Athabasca Transect 10,20110627,10:57,58.72753,-110.96965,16.72,246.4,382.9,7.09,187.25,255,7,-9999
L. Athabasca Transect 11,20110627,11:07,58.72451,-110.96327,16.55,247.5,355,7.89,183.99,233.2143,8,-9999
L. Athabasca Transect 12,20110627,11:13,58.72113,-110.95671,16.42,246.4,434.2,6.72,172.48,256.7857,8,-9999
L. Athabasca Transect 13,20110627,11:20,58.71827,-110.95068,16.05,243.3,591.6,6.53,148.45,362.1429,5,-9999
L. Athabasca Transect 14,20110627,11:26,58.71497,-110.94376,16.03,243.2,627.5,6.54,143.66,374.6429,4,-9999
L. Athabasca Transect 15,20110627,11:32,58.71206,-110.93768,16.33,244.2,638.4,6.5,139.5,395.3571,5,-9999
L. Athabasca Transect 16,20110627,11:38,58.70962,-110.93106,16.47,244.5,654,6.64,139.7,377.1429,4,-9999
L. Athabasca Transect 17,20110627,11:45,58.70688,-110.92428,16.64,247.3,542,7.15,151.63,347.1429,5,-9999
L. Athabasca Transect 18,20110627,11:51,58.70384,-110.91735,16.75,245.8,599.2,6.8,142.66,386.4286,4,-9999
L. Athabasca Transect 19,20110627,11:58,58.70099,-110.91068,16.41,246.4,577.6,7.23,149.67,362.1429,5,-9999
