pad_water_reflectance_2011.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spectral reflectance data at locations in the Peace-Athabasca Delta, June/July 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are the reflectance at wavelengths (Column B) from 350-1025 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All data collected with an ASD Field Spec 3 field spectrometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Collected by Colleen Long, Tamlin Pavelsky, and Zachary Miller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File last modified January 9, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site_Name,Chillowe's Cr,Rochers Abv Chillowe's ,Rochers Top,Dog Camp Island,QF Top,QF TM,QF Middle,QF BM,QF at Peace,Peace Abv QF,Garouche Cr,QF btwn FC and DC,Embarras at Galoot,Embarras Abv CP,FC Abv CP,Goose Island Channel,Ath at GIC,FC at GW,Ath at FC,L. Athabasca Transect 1,L. Athabasca Transect 2,L. Athabasca Transect 3,L. Athabasca Transect 4,L. Athabasca Transect 5,L. Athabasca Transect 6,L. Athabasca Transect 7,L. Athabasca Transect 8,L. Athabasca Transect 9,L. Athabasca Transect 10,L. Athabasca Transect 11,L. Athabasca Transect 12,L. Athabasca Transect 13,L. Athabasca Transect 14,L. Athabasca Transect 15,L. Athabasca Transect 16,L. Athabasca Transect 17,L. Athabasca Transect 18,L. Athabasca Transect 19,L. Athabasca Transect 20,L. Athabasca Transect 21,L. Athabasca Transect 22,L. Athabasca Transect 23,Rochers Top,Rochers Abv Chillowe's ,Chillowe's Cr,Rochers Middle,Rochers Bottom,Peace at Fossil Pt,Peace at Coupe,Coupe Abv Weir,Garouche Cr,QF btwn FC and DC,Embarras at Galoot,Embarras Abv CP,FC Abv CP,FC at GW,Ath at FC,Ath below Richardson,Limon Channel,Limon Lake,Limon Lake West,Richardson Abv Limon,Dog Camp Island,QF Top,QF TM,QF Middle,QF BM,QF at Peace,Peace Abv QF,Peace at Sweetgrass,Peace Abv Carlsons,Peace Below Carlsons,Coupe West of Weir,Coupe Abv Weir,Fort Chip Bay Channel,L. Mamawi NS transect 1,L. Mamawi NS transect 2,L. Mamawi NS transect 3,L. Mamawi NS transect 4,L. Mamawi NS transect 5,L. Mamawi NS transect 6,L. Mamawi NS transect 7,L. Mamawi NS transect 8,L. Mamawi NS transect 9,L. Mamawi NS transect 10,L. Mamawi NS transect 11,L. Mamawi NS transect 12,L. Mamawi NS transect 13,L. Mamawi NS transect 14,L. Mamawi NS transect 15,L. Athabasca Transect 2,Embarras at Galoot,Embarras Abv CP,Embarras Abv Mamawi,Mamawi Creek,Long Portage Creek,Long Portage Lake 1,Long Portake Lake 2,Mamawi Creek Abv Lake,Dog Camp Island,L. Athabasca Transect 1,L. Athabasca Transect 2,L. Athabasca Transect 3,L. Athabasca Transect 4,L. Athabasca Transect 5,L. Athabasca Transect 6,L. Athabasca Transect 7,L. Athabasca Transect 8,Goose Island Channel,Ath at GIC,Ath below Jackfish,Jackfish Creek,Jackfish Creek near Lake,Richardson Lake,Rochers at Chillowe's,Embarras at Galoot,FC at GW,Ath at FC,Ath blw Richardson,Limon Channel,Limon Lake,Limon Lake West,Richardson Abv Limon,Ath Abv Richardson,CP at FC,Embarras Abv CP,Rochers Top,Rochers Abv Chillowe's,Chillowe's Cr,Rochers Middle,Rochers Bottom,Peace at Fossil Pt,Peace at Coupe,Coupe West of Weir,QF at Peace,QF BM,QF Middle,QF TM,QF Top,Dog Camp Island,L. Athabasca Transect 1,L. Athabasca Transect 2,L. Athabasca Transect 3,L. Athabasca Transect 4,L. Athabasca Transect 5,L. Athabasca Transect 6,L. Athabasca Transect 7,L. Athabasca Transect 8,L. Athabasca Transect 9,L. Athabasca Transect 10,L. Athabasca Transect 11,L. Athabasca Transect 12,L. Athabasca Transect 13,L. Athabasca Transect 14,L. Athabasca Transect 15,L. Athabasca Transect 16,L. Athabasca Transect 17,L. Athabasca Transect 18,L. Athabasca Transect 19,L. Athabasca Transect 20,L. Athabasca Transect 21,L. Athabasca Transect 22,L. Athabasca Transect 23,L. Athabasca Transect 24,L. Mamawi EW transect 1,L. Mamawi EW transect 2,L. Mamawi EW transect 3,L. Mamawi EW transect 4,L. Mamawi EW transect 5,L. Mamawi EW transect 6,L. Mamawi EW transect 7,L. Mamawi EW transect 8,L. Mamawi EW transect 9,L. Mamawi EW transect 10,L. Mamawi EW transect 11,L. Mamawi EW transect 12,L. Mamawi EW transect 13
Date,20110624,20110624,20110624,20110624,20110624,20110624,20110624,20110624,20110624,20110624,20110624,20110624,20110625,20110625,20110625,20110625,20110625,20110625,20110625,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110627,20110628,20110628,20110628,20110628,20110628,20110628,20110628,20110628,20110628,20110628,20110628,20110628,20110629,20110629,20110629,20110629,20110629,20110629,20110629,20110629,20110629,20110629,20110629,20110629,20110629,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110630,20110702,20110702,20110702,20110702,20110702,20110702,20110702,20110702,20110702,20110702,20110703,20110703,20110703,20110703,20110703,20110703,20110703,20110703,20110703,20110703,20110703,20110703,20110703,20110703,20110704,20110704,20110704,20110704,20110704,20110704,20110704,20110704,20110704,20110704,20110704,20110704,20110705,20110705,20110705,20110705,20110705,20110705,20110705,20110705,20110705,20110705,20110705,20110705,20110705,20110705,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706,20110706
Time,10:15,10:49,11:20,13:56,14:09,14:31,14:51,15:21,15:39,15:51,17:05,17:21,9:20,9:55,10:12,10:53,11:16,12:19,12:40,9:27,9:46,9:57,10:05,10:18,10:27,10:34,10:44,10:50,10:57,11:07,11:13,11:20,11:26,11:32,11:38,11:45,11:51,11:58,12:04,12:10,12:17,12:24,13:33,14:03,14:22,14:44,15:11,15:30,15:59,16:21,9:40,9:55,10:40,11:00,11:30,11:45,12:25,12:55,13:15,13:33,13:47,14:21,9:20,9:40,10:05,10:30,10:52,11:14,11:33,12:25,13:02,13:30,14:17,14:44,15:22,9:25,9:45,10:00,10:08,10:24,10:36,10:42,10:50,10:56,11:06,11:13,11:20,11:25,11:30,11:40,8:50,10:20,10:40,12:24,13:08,13:24,13:36,13:47,14:11,14:30,8:55,9:00,9:06,9:13,9:22,9:30,9:43,9:50,11:23,11:40,12:15,12:40,13:00,13:15,10:00,13:55,14:20,14:50,15:20,15:30,15:45,15:55,16:15,16:30,17:15,17:20,9:20,9:53,10:11,10:35,11:05,11:25,11:55,12:15,12:45,13:00,13:30,13:45,14:10,14:27,8:35,8:45,8:52,8:58,9:03,9:07,9:15,9:23,9:29,9:35,9:40,9:45,9:52,9:57,10:02,10:07,10:14,10:19,10:25,10:30,10:35,10:41,10:47,10:55,12:11,12:20,12:27,12:35,12:43,12:51,12:59,13:04,13:12,13:19,13:28,13:36,13:43
350,0.023520052,0.025373763,0.02307774,0.303477921,0.046440164,0.039575097,0.032410023,0.034454007,0.036103873,0.028943108,0.023520052,0.075086713,0.029499918,0.029018502,0.029680327,0.078065,0.034685652,0.036756754,0.039870138,0.044391214,0.022655335,0.030245951,0.025768253,0.032941152,0.022468024,0.052244593,0.0311375,0.031831504,0.049335876,0.059350309,0.035091182,0.105954854,0.066581291,0.119618485,0.030198533,0.036173295,0.030908618,0.037907416,0.119692947,0.06831534,0.035597044,-9999,0.038244398,0.025667774,0.039130701,0.025405882,0.019640406,0.029407685,0.030930067,0.020754747,0.018911561,0.024840946,0.02927502,0.037765023,0.053655164,0.044821775,0.029423329,0.026954061,0.03123416,0.034512843,0.027876484,0.032266533,0.023069555,0.03491048,0.029865085,0.027218442,0.036252653,0.026494687,0.028967546,0.028472494,0.038158305,0.028289463,0.025462614,0.038678483,0.012797705,0.032058144,0.09014556,0.037533581,0.031793328,0.04294856,0.025397369,0.040438856,0.02562397,0.050268037,0.032946803,0.042711853,0.034506784,0.125009464,0.038272093,0.108494558,0.044391214,0.03304521,0.025216327,0.017804684,0.032607102,0.018206369,0.018402406,0.021055817,0.09275023,0.046672385,0.032512669,0.03311646,0.038906622,0.026883286,0.044544096,0.068913577,0.046032506,0.0311375,0.13435261,0.054829728,0.060505739,0.047408494,0.043936852,0.066509838,0.050352194,0.02919521,0.11299479,0.021771176,0.059202348,0.048103755,0.028542881,0.033653604,0.026961396,0.021329305,0.023003783,0.027844324,0.031185779,0.042174148,0.066714639,0.062030283,0.061010755,0.065351388,0.038552657,0.03604202,0.042927674,0.028971295,0.044470423,0.056234449,0.044060481,0.022330295,0.031883314,0.032795765,0.025888113,0.050129237,0.016729498,0.030128091,0.05254578,0.03455985,0.069600762,0.029450383,0.049279277,0.034564495,0.030948581,0.051415917,0.040868762,0.023188117,0.022461103,0.023281136,0.018970049,0.033130788,0.024090166,0.06033933,0.016138262,0.018651878,0.032194438,0.023824795,0.021232187,0.015398836,0.015398836,0.020488569,0.017658714,0.019043498,0.184003263,0.082250218,0.014144774,0.026002051,0.055898771
351,0.023671121,0.025989064,0.022632214,0.304745665,0.046423155,0.039121749,0.033328185,0.034549067,0.035129294,0.027112359,0.023671121,0.075363582,0.030568944,0.029008468,0.029209735,0.078312532,0.034624641,0.03719603,0.040102765,0.044454107,0.022392146,0.029885637,0.02515095,0.032360394,0.021538985,0.052028388,0.029280529,0.032045173,0.050824243,0.058880418,0.035620425,0.106066229,0.066474727,0.120372082,0.031363077,0.035965523,0.031800636,0.038460694,0.120267082,0.069278392,0.035793338,-9999,0.038269668,0.025685339,0.039267762,0.025111859,0.019223647,0.030147773,0.030673669,0.020258337,0.018859156,0.024801965,0.029150088,0.036286191,0.055340031,0.045423081,0.029298704,0.026637176,0.031388872,0.035070473,0.027862736,0.032419661,0.022231495,0.03501091,0.03016545,0.027215864,0.036252749,0.026456865,0.02894334,0.026487482,0.037607415,0.028352195,0.025679499,0.038983746,0.012752507,0.032280131,0.090105137,0.037668642,0.031435916,0.043149288,0.025354895,0.040574695,0.026020644,0.049991028,0.032044716,0.04238972,0.033747204,0.125874963,0.038250737,0.108875982,0.044454107,0.033609595,0.025006102,0.017948984,0.031316785,0.017660313,0.018336952,0.02139456,0.09400295,0.045492763,0.033229684,0.032856177,0.03905879,0.027343332,0.044224691,0.069379682,0.045184823,0.029280529,0.134579663,0.054936065,0.06062755,0.048018119,0.044279867,0.067183545,0.050476285,0.028719962,0.113146099,0.021913126,0.060244951,0.048227637,0.030510738,0.034920266,0.029933734,0.021194681,0.022337146,0.027890764,0.028274991,0.042375632,0.066926704,0.062015506,0.060674147,0.065553207,0.04004045,0.035980545,0.043002053,0.027665116,0.045842651,0.056726269,0.043843799,0.022397589,0.031415621,0.032921683,0.025578047,0.050520698,0.016927248,0.02993089,0.052438654,0.035137473,0.07003878,0.02974842,0.049948142,0.034747754,0.031358547,0.051037684,0.041122459,0.023296644,0.022424092,0.023345605,0.01882888,0.033759296,0.024706825,0.060520025,0.016189264,0.01858171,0.031212451,0.024518602,0.020556886,0.015308396,0.015308396,0.020699759,0.018000538,0.018795944,0.184133965,0.082181238,0.013642548,0.026237113,0.056675242
352,0.023740484,0.02531411,0.023061875,0.306685921,0.047184005,0.039494766,0.03377958,0.034860842,0.03534383,0.028425585,0.023740484,0.075623268,0.030489413,0.028725591,0.028981009,0.078531239,0.03437702,0.037006262,0.039585663,0.04446697,0.022619059,0.030029223,0.028611591,0.033029239,0.0227382,0.053551275,0.030124468,0.031858458,0.050689541,0.060039783,0.034564928,0.107275582,0.065918549,0.12110069,0.030544636,0.035862465,0.032165189,0.037818615,0.120103609,0.068650598,0.035607598,-9999,0.038838852,0.025749404,0.039013368,0.025025824,0.019581519,0.029209198,0.031602282,0.020825853,0.019590178,0.025115118,0.029575723,0.036732164,0.055889631,0.04600798,0.029510475,0.026707375,0.031886059,0.034622228,0.028020935,0.032391505,0.023504951,0.034952859,0.030062868,0.026760766,0.036298995,0.027205563,0.029384437,0.028569079,0.037089563,0.028850876,0.025495507,0.040228875,0.012995976,0.033028707,0.090451152,0.037731707,0.030809631,0.04329972,0.025744969,0.040466653,0.025609179,0.050300845,0.032724492,0.042547946,0.034379142,0.125911356,0.03842567,0.109352057,0.04446697,0.03401666,0.024536779,0.019780043,0.030874256,0.018623063,0.017915875,0.020185712,0.095831073,0.045130725,0.033259781,0.033337401,0.039129381,0.02739401,0.044226168,0.069563652,0.046222189,0.030124468,0.134738578,0.055212156,0.060611035,0.048098514,0.044785149,0.067006304,0.050449756,0.029365096,0.11311213,0.022263565,0.058933383,0.048520867,0.029476363,0.034577761,0.026971675,0.020280677,0.022193641,0.027707946,0.029884,0.042566503,0.067577207,0.062275483,0.060986269,0.065256007,0.040317838,0.035933108,0.043169606,0.030687933,0.045627955,0.056806605,0.043829358,0.021340037,0.031752081,0.032318141,0.025423244,0.050913322,0.017638174,0.030338694,0.052417143,0.035796498,0.070716915,0.030114484,0.050384698,0.034477867,0.031496692,0.051361513,0.040996638,0.023445218,0.022128548,0.023372635,0.019535442,0.033520744,0.024425744,0.060844423,0.015271244,0.018611676,0.031659225,0.024046093,0.019775343,0.015291647,0.015291647,0.020468135,0.017666326,0.01887432,0.184295437,0.082571379,0.013925585,0.025872822,0.055946685
353,0.023452557,0.025148767,0.023792127,0.308772154,0.047326448,0.039091129,0.033439983,0.034332664,0.035794831,0.029348909,0.023452557,0.076164307,0.029627106,0.029028191,0.029268833,0.078844944,0.034346314,0.036974583,0.039794772,0.044569447,0.022550513,0.030306925,0.029458281,0.033105352,0.023369186,0.054966702,0.030248896,0.031362588,0.049414386,0.059604492,0.035872697,0.107453701,0.067453252,0.121819285,0.030763998,0.036401751,0.032051172,0.037448636,0.120806726,0.06855989,0.035996807,-9999,0.038324977,0.025578192,0.039271042,0.025184078,0.020020685,0.029119713,0.031920394,0.021043096,0.019449056,0.025108731,0.02999981,0.037477324,0.055110313,0.045828094,0.029579317,0.027394377,0.031641997,0.034889604,0.028506537,0.032879292,0.023623059,0.035138261,0.030258457,0.027208136,0.036504454,0.026417744,0.029563445,0.029671528,0.037246075,0.028702104,0.025804181,0.039947385,0.013366545,0.033091529,0.090796721,0.037988808,0.030835873,0.043155104,0.025849647,0.040756187,0.025653309,0.050277503,0.032532631,0.042669815,0.034301644,0.125740791,0.038072477,0.109387259,0.044569447,0.033810786,0.024106917,0.018933504,0.031548072,0.018367888,0.018748361,0.021371349,0.094835229,0.046221859,0.033657331,0.033334622,0.038800799,0.027212854,0.044501905,0.069461804,0.046559667,0.030248896,0.134955744,0.055519673,0.060559139,0.048165746,0.044400281,0.067185885,0.050732179,0.029496931,0.11380622,0.022755631,0.058877903,0.048909974,0.027949322,0.034678673,0.027087697,0.020168016,0.022713938,0.02693581,0.029912927,0.042372748,0.06761197,0.062442718,0.061256254,0.065410531,0.04039835,0.036679636,0.041829753,0.029884134,0.044013687,0.056558507,0.044278211,0.022392667,0.032137459,0.032432704,0.025700665,0.051093319,0.016886067,0.030298921,0.05292799,0.03577619,0.070921726,0.030422581,0.050793765,0.033909622,0.031302562,0.051902334,0.041170674,0.023156293,0.02202059,0.023413763,0.018400196,0.03316675,0.024911203,0.060475062,0.01589455,0.01857889,0.031946264,0.023947722,0.020320605,0.014976897,0.014976897,0.019724365,0.017470351,0.019219904,0.18494714,0.083026917,0.013598091,0.026016537,0.055848188
354,0.023120382,0.025321065,0.023309754,0.310878305,0.047308853,0.038685611,0.033236764,0.033965895,0.035317444,0.029522171,0.023120382,0.076488215,0.029060928,0.029353138,0.029568688,0.079146182,0.034621269,0.037313035,0.039834121,0.044783619,0.02230344,0.030082562,0.029075344,0.032936704,0.022946716,0.054846646,0.029659723,0.031651626,0.049731436,0.058767872,0.036318008,0.107379237,0.068451049,0.122300793,0.03098366,0.036708059,0.031680036,0.038142334,0.122367532,0.068618647,0.036397277,-9999,0.038001678,0.025697456,0.039476888,0.025416716,0.020056954,0.029324523,0.031765017,0.021225742,0.018897622,0.025030288,0.030361399,0.037540787,0.055250374,0.0456762,0.029633411,0.027821256,0.031505128,0.035219908,0.028864169,0.03300373,0.023797751,0.035522685,0.030436714,0.027697086,0.036560624,0.026289223,0.029150529,0.029441728,0.037350124,0.028510594,0.025987663,0.039129553,0.013447203,0.032721362,0.090932374,0.03787871,0.03111741,0.043052516,0.025559871,0.041057916,0.025863808,0.050307572,0.032229667,0.042822533,0.03396531,0.126012409,0.037904907,0.109573847,0.044783619,0.0337967,0.024517701,0.018047616,0.03196106,0.018160501,0.019262388,0.022040536,0.094645371,0.046798544,0.034068505,0.033485437,0.038693537,0.027148249,0.044579017,0.069449312,0.04638944,0.029659723,0.135173329,0.05557931,0.060723387,0.048025064,0.044315663,0.067218353,0.050975486,0.029622012,0.114443803,0.02311126,0.059092121,0.048487765,0.028033719,0.03545536,0.027747891,0.02001502,0.022600917,0.026330147,0.029159706,0.042377581,0.067613551,0.06262129,0.061429623,0.065697801,0.039819437,0.037109595,0.041625173,0.029050513,0.043678743,0.05660815,0.044522588,0.023295967,0.032216865,0.032547736,0.025970642,0.050996199,0.016214782,0.030266208,0.053261496,0.035403774,0.071290911,0.030552319,0.051220005,0.033662958,0.031139241,0.052314001,0.041436841,0.022875248,0.022019441,0.023312795,0.017581326,0.032654858,0.025212242,0.060577313,0.016075195,0.018442228,0.031919945,0.024340979,0.020479649,0.015087919,0.015087919,0.019743116,0.017617328,0.019279635,0.185568032,0.082956671,0.013659855,0.026455873,0.056119039
355,0.023045492,0.025561236,0.022074594,0.313134356,0.047468982,0.038714725,0.03330099,0.03423038,0.034086112,0.029133436,0.023045492,0.076439763,0.02921981,0.029346546,0.029585815,0.079385119,0.035034678,0.037678904,0.039433612,0.044955546,0.022195248,0.029589701,0.028721411,0.03269513,0.022005473,0.053713296,0.029133839,0.032681112,0.051496746,0.058686337,0.034922878,0.107725903,0.067727376,0.122524427,0.030970496,0.036444419,0.031372644,0.03941909,0.123974439,0.068594658,0.036431427,-9999,0.038465257,0.026114415,0.039290565,0.025506207,0.019720292,0.029364305,0.031479015,0.021515132,0.01857722,0.025088511,0.03057753,0.036967633,0.056609233,0.045932784,0.029778292,0.027659237,0.031841803,0.035286222,0.028850066,0.032556483,0.024400494,0.035870831,0.030443787,0.027782266,0.036443423,0.027477964,0.028704147,0.028678295,0.037085748,0.028620322,0.025813744,0.038756506,0.013360237,0.032569051,0.09096302,0.037580892,0.031181242,0.043174958,0.025270434,0.041174396,0.025932536,0.050549858,0.032255096,0.042969422,0.033938408,0.12670257,0.038302247,0.109915289,0.044955546,0.034130446,0.025626114,0.018402476,0.031732113,0.018585203,0.018955069,0.020776607,0.096329239,0.045926438,0.034285568,0.033987133,0.039078556,0.027359539,0.044467187,0.06967506,0.046195419,0.029133839,0.135425088,0.055431681,0.061083091,0.047812325,0.044975833,0.067039902,0.051001888,0.029651539,0.114718345,0.02312797,0.059398901,0.047388553,0.029453934,0.036094126,0.027267578,0.019609684,0.021855158,0.026429229,0.029377524,0.042696137,0.068026615,0.062866576,0.061541877,0.0659996,0.038715077,0.036788814,0.043283794,0.030237064,0.045343686,0.056975219,0.044332895,0.022728097,0.031915872,0.032343579,0.026082326,0.050839689,0.016518063,0.030441818,0.053102274,0.035120018,0.071986548,0.030577867,0.051586721,0.033870129,0.031154903,0.052524561,0.041671208,0.022944116,0.022082383,0.023220538,0.018144558,0.032277302,0.024868658,0.061594894,0.015207388,0.018173365,0.031725057,0.024697813,0.019651249,0.015655927,0.015655927,0.02052973,0.017786024,0.018982601,0.185674215,0.082639158,0.014352642,0.026652503,0.056563068
356,0.023400042,0.025886821,0.023655245,0.316016551,0.047583981,0.038662444,0.032265998,0.034406323,0.03427399,0.028494488,0.023400042,0.076502872,0.029481998,0.029234434,0.029491815,0.079637218,0.035132187,0.037022236,0.039719971,0.044679696,0.022683817,0.030404333,0.027726433,0.031775419,0.02207231,0.054794981,0.029899295,0.032612201,0.049874679,0.0595531,0.035412149,0.108425938,0.0671519,0.122807473,0.032585369,0.036328122,0.031537401,0.039115981,0.12403377,0.069018841,0.036266722,-9999,0.038751609,0.025924932,0.038968264,0.025194662,0.019727853,0.029569673,0.031257539,0.021450921,0.018910202,0.025252064,0.030421579,0.037150252,0.056117022,0.04606267,0.029968461,0.027581777,0.031926889,0.035733799,0.028630711,0.032603141,0.023643475,0.035755539,0.030561606,0.028099488,0.036611849,0.027496772,0.030039171,0.028865561,0.03701133,0.028650391,0.025895924,0.039038912,0.014064803,0.033608683,0.091413247,0.038540884,0.030708926,0.043388834,0.025998124,0.041400198,0.025829331,0.050575664,0.031924492,0.042807185,0.034471752,0.126781685,0.038911363,0.109276474,0.044679696,0.033744984,0.025887177,0.017812764,0.032317905,0.018428052,0.019563308,0.019629726,0.095724898,0.044585881,0.034609862,0.034023942,0.039573595,0.027701608,0.04498364,0.069882887,0.046296708,0.029899295,0.135942289,0.055610603,0.061195193,0.048296052,0.045277059,0.067565744,0.051032263,0.028088252,0.115390187,0.022726625,0.061964136,0.047382281,0.028588654,0.034524785,0.027663745,0.020173417,0.022685056,0.027273263,0.032429626,0.042555149,0.068747108,0.063060724,0.061633531,0.066787804,0.038325422,0.036621623,0.043953971,0.03054949,0.046355289,0.056670152,0.04429121,0.021760357,0.031467134,0.032518091,0.02649008,0.051208433,0.017049159,0.030344976,0.052915008,0.035284529,0.072212377,0.030870789,0.051646562,0.033873351,0.031083764,0.052837457,0.042075103,0.023378242,0.022343338,0.023802423,0.018627569,0.033019334,0.024614592,0.062586967,0.015582554,0.017720956,0.03164572,0.023821013,0.019496916,0.015508672,0.015508672,0.019983725,0.016976686,0.01904509,0.185021964,0.083683833,0.014362015,0.025831134,0.057628525
357,0.023519888,0.025767528,0.023805169,0.317728482,0.047601283,0.03830421,0.032511662,0.034373804,0.033832004,0.028414759,0.023519888,0.076872197,0.02922137,0.029291591,0.029557607,0.080021331,0.035166368,0.036645222,0.039729888,0.044892041,0.02262723,0.030633659,0.02771486,0.032378427,0.022613877,0.055433487,0.030698168,0.031944836,0.050601031,0.060380443,0.035759568,0.108743769,0.067586327,0.123235552,0.031947322,0.036487965,0.031559371,0.038757021,0.123735383,0.068709669,0.036627046,-9999,0.038875399,0.025825584,0.038958447,0.025311229,0.019899592,0.029432311,0.031573553,0.021217496,0.020076576,0.025357635,0.030248792,0.037543658,0.056526549,0.04607409,0.030032869,0.027754154,0.031898445,0.035723831,0.028678637,0.03269409,0.023659327,0.035587825,0.030698323,0.027690829,0.037003369,0.027822057,0.029847521,0.029609921,0.03740925,0.02861956,0.025873389,0.039731418,0.014179729,0.03338128,0.092107551,0.038654616,0.030553834,0.043091571,0.026124618,0.041259249,0.025885356,0.050612695,0.031980109,0.042676633,0.034766457,0.12719682,0.038758512,0.109854227,0.044892041,0.033930116,0.025539964,0.018484584,0.032302767,0.018267777,0.018508576,0.019517695,0.096478281,0.044780236,0.03442013,0.034022297,0.039443819,0.027914863,0.045049067,0.070120101,0.046674618,0.030698168,0.136118199,0.055607781,0.061366659,0.048332255,0.045422755,0.068096019,0.051538006,0.028365551,0.115562162,0.022526004,0.06073674,0.04783305,0.02729967,0.033577405,0.02820122,0.02022727,0.02268521,0.027298549,0.032583839,0.042863981,0.069715335,0.063521528,0.061691838,0.066987887,0.038285246,0.036642791,0.04368107,0.029689951,0.047055728,0.056407648,0.044442638,0.021726031,0.031502535,0.03262346,0.026243552,0.051579104,0.01719589,0.030755179,0.053090383,0.035266179,0.072394476,0.030404481,0.05174838,0.033964109,0.031362198,0.053083049,0.042028538,0.023630561,0.022671741,0.023685714,0.018428274,0.032835437,0.024611483,0.062648592,0.015698899,0.017469206,0.031597749,0.023492376,0.019150016,0.015165876,0.015165876,0.019664914,0.016968391,0.019262127,0.184701583,0.084117668,0.014296066,0.025534715,0.057523519
